Primaria,191,105,8,10,4,2,,,
Urbana,4,-,-,-,-,-,,,
Rural,187,105,8,10,4,2,,,
Media,3096,3012,1,764,1842,1,664,1333,
Secundaria,basica,990,821,277,295,272,214,,
Preuniversitario,793,829,541,564,417,358,,,
Técnico,y,profesional,946,980,628,665,S77,432,
De,ello:Técnico,medio,612,580,580,592,462,407,
Formacién,de,Personal,Pedagégico,367,382,318,318,398,329
Especial,147,140,145,159,144,131,,,
Superior,2198,2437,ee,586,4113,2980,,,
Ministerio,de,Educacién,Superior,778,691,ee,586,1168,846
Ministerio,de,Salud,Publica,1420,1746,ee,ee,2945,2134
