Total,1465,1318,1207,1099,2669,1532,,,,
Técnico,medio,551,641,586,755,2419,1045,,,
Energética,-,-,-,-,17,30,,,,
Industrias,"azucarera,",quimica,y,alimenticia,-,-,a,43,193,11
"Electrénica,",automatizacién,y,comunicaciones,-,-,-,-,61,62,
Transporte,14,34,50,52,101,69,,,,
Construecién,80,49,23,24,266,59,,,,
Produccién,agropecuaria,96,138,98,125,520,203,,,
Economia,79,84,95,95,713,246,,,,
Salud,publica,160,230,88,93,-,-,,,
Otras,122,106,191,323,548,265,,,,
Industrias,"azucarera,",quimica,y,alimenticia,181,-,19,43,12,-
Transporte,47,23,35,24,17,30,,,,
Construecién,302,173,184,134,56,91,,,,
Produccién,agropecuaria,89,153,88,83,71,121,,,
Otras®,295,328,295,60,94,245,,,,
