Primaria,3733,3623,3901,3969,3948,3933,,,
ena,aid,ate,gael,8468,3408,3480,,,
Rural,481,"455,",480,501,"485,",494,,,
Escuela,de,Iniciacién,Deportiva,30,32,-,-,.,.
Escuela,Vocacional,de,Arte,48,28,-,-,-,-
Media,8121,7988,6578,6462,7575,6299,,,
‘Secundaria,basica_,4420,4164,3651,3706,3339,3557,,
De,ello:,En,el,campo.,457,«395304415,342848,,
Preuniversitario:,1561,1658,1437,1490,1320,1156,,,
De,ello:,En,el,campo.,126,©,"162,—S«170",189,"«129108,"
‘Técnica,y,profesional,1975,1993,1326,1094,2669,1338,
‘Técnico,medio,1402,231,662,690,2419,1045,,
Obrero,calificado,176,208,344,404,250,293,,
Formacién,de,personal,pedagégico,165,"«173,",164.—S,ss,"172,—t—siT2B",
cos,oer,90m,asst,,,,,,
Educacién,Obrero,Campesina,37,15,-,6,6,,
‘Secundaria,Obrero,Campesina,161,165,195,-,97,142,
Facultad,Obrero,Campesina,503,482-2873,451,347-308,,,
Idiomas,100,10,-,131,95,,,,
Especial,113,116126,"153103132,",,,,,,
‘Superior,872,7901231,585,8581371,,,,,
