Pre-,escolar,2.435,231,253,273,139,237,,
Primaria,22823,«1937,=,1903,1.820,1198,1537,,
Media,19037,1493,1.423,1362,907,1163,,,
Secundaria,basica,11.289,930,974,970,565,797,,
Preuniversitario,3.583,247,216,229,132,205,,,
‘Técnica,y,profesional,3.306,316,233,163,210,161,
Formacién,de,Personal,Pedagégico™,859,-,-,-,-,-
Adultos,1869,417,136,197,92,148,,,
Especial,1295,122,86,122,60,112,,,
Superior,11333,-,-,-,-,-,,,
Pre-,escolar,253,739,310,,,,,
Primaria,2811,9594,2023,,,,,,
Media,2126,9039,1524,,,,,,
Secundaria,basica,1.350,4678,1025,,,,,
Preuniversitario,386,1875,293,,,,,,
‘Técnica,y,profesional,390,1627,206,,,,
Formacién,de,Personal,Pedagégico™,:,859,:,,,
Adultos,257,829,93,,,,,,
Especial,119,569,105,,,,,,
‘Superior,~,11333,.,,,,,,
