Preescolar,2694,«©2628,«62716,«62716,§=—,2510,2435,,,,,,,
Primaria,25138,25295,25091,25152,23621-22823,,,,,,,,,
Urbana,21585,21771,«21704,«21742,«20361,+,«19678,,,,,,,
Rural,3311,3358,3387,3410,3260,3145,,,,,,,,
Escuela,de,Iniciacién,Deportiva,152,72,-,-,-,-,,,,,
Escuela,Vocacional,de,Arte,90,94,-,-,-,-,,,,,
Media,25109,24306,«22293,«22488,«=,20518,=,19037,,,,,,
Secundaria,basica,12153,11335,10854,10912,11208,+=,11289,,,,,,
De,ello:,En,el,campo,"11480-1112,",1058,=,1080-1061,1023,,,,,
Escuela,de,Iniciacién,Deportiva,696,494,-,-,-,-,,,,,
Escuela,Vocacional,de,Arte,112,97,-,-,-,-,,,,,
Preuniversitario,4912,4619,4165,4211,«3.568,3.583,,,,,,,,
De,ello:,En,el,campo,525,475,420,443,335,356,,,,
Ciencias,exactas,396,435,465,473,356,301,,,,,,,
Escuela,Superior,de,Perfeccionamiento,Atlético,302,298,-,-,-,-,,,,
Técnica,y,profesional,6996,7289,6065,6139,4586,3306,,,,,,
De,ello:,Técnico,medio,5756,5773,5933,5920,2973,2454,,,,,
Oficios,437,366,132,219,571,-,,,,,,,,
Cursos,del,Ministerio,del,Azticar,:,-,-,:,-,-,,,,
Centros,Politécnicos,Otros,Organismos,8031150,-,-,-,-,,,,,,
Formacién,Personal,Pedagégico,°!,1048,«1063-1209,1226,1066,859,,,,,,
Curso,de,Lengua,"Espafiola,",Historia,de,Cuba,y,Matematicas,153,73,24,-,-,-
Adultos,3280,3631,2799,2851,2509,1869,,,,,,,,
Educacién,obrero,campesina,65,27,6,9,9,22,,,,,,
‘Secundaria,obrero,campesina,309,366,83,83,116,63,,,,,,
Facultad,obrero,campesina,2587,«2589,«2111,«213218341207,,,,,,,,
Idioma,319,649,599,627,550,877,,,,,,,,
Especial,1336,"«129912831307,",1274,=,1.295,,,,,,,,,
Superior,8515,9.254,7027,1564011333,,,,,,,,,,
Ministerio,de,Educacién,Superior,5351,5772,702797597072,,,,,,,,
Ministerio,de,Salud,Publica,3164,3482,we,w=,«5881,4.261,,,,,
