Total,5123,5,563,5179,6139,3544,3761,,,
Técnico,medio,4155,4721,4,393,5920,2973,2454,,
"Geologfa,",mineria,y,metalurgia,15,14,-,-,-,-,
Energética,-,18,24,78,30,91,,,,
Industrias,"azucarera,",quimica,y,alimenticia,198,301,398,503,392,107
"Electrénica,",automatizacién,y,comunicaciones,89,109,-,186,113,19,
Transporte,186,212,10,227,182,148,,,,
Construccién,424,464,96,714,260,259,,,,
Produccién,agropecuaria,796,876,613,764,399,402,,,
Economia,639,750,780,1076,914,882,,,,
Salud,publica,431,381,386,-,-,-,,,
Otras,1377,1596,2.086,2372,683,546,,,,
Industrias,"azucarera,",quimica,y,alimenticia,143,247,247,35,7,47
Transporte,101,50,45,22,70,70,,,,
Construccién,313,198,106,43,173,249,,,,
Produccién,agropecuaria,141,130,125,34,266,455,,,
Otras,270,217,263,85,55,486,,,,
