Externos,38,428,37,419,30,429,31110,33919,30,337,
Seminternos,21106,23,300,20,820,21415,24716,24009,,,
Internos,3909,5,694,1917,2009,5925,4446,,,,
Preescolar,2694,2628,2716,2716,2510,2435,,,,,
Externos:,2,356,2296,2,368,2368,2098,2052,,,
Seminternos,338,332,348,348,412,383,,,,,
Primaria,(24,896,25,295,25091,25,152,26,248,(22,823
Externos:,11796,11737,11989,11631,13,120,10,037,,,
Seminternos,13,090,13,453,13,094,13,513,13.124,12,784
Internos,10,105,8,8,4,2,,,,,
Media,21,820,24,306,21277,22,488,16,212,19,037
Externos:,13,315,13,984,13,030,14,026,6442,9,380
Seminternos,6,766,7310,6,483,6620,8106,8,324,,
Internos,1739,3012,1764,1842,1,664,1333,,,,
Adultos:,3280,3631,2799,2871,2509,1,869,,,,
Externos:,3,280,3631,2799,2871,2509,1869,,,,
Especial,1336,1299,1283,1307,1441,1295,,,,,
Externos:,277,244,243,214,397,221,,,,,
Seminternos,912,915,895,934,900,943,,,,,
Internos,147,140,145,159,144,131,,,,,
Superior,9417,9,254,wee,7027,15,640,11,333,,
Externos:,7,404,5,527,wee,153,9,353,6778,,
Seminternos,-,1290,wee,6,288,2174,1575,,,,
Internos,2013,2437,wee,586,4113,2980,,,,,
