Prescolar,285,21,33,23,25,37,,,
Primaria,2577,194,277,210,182,204,,,
Media,(2966,180,234,256,150,223,,,
Secundaria,basica,1445,72,126,143,74,147,,
Preuniversitario,513,35,43,47,25,34,,,
Técnica,y,profesional,"865,",73,65,66,51,42,
De,ello:,Oficios,:,.,.,:,:,:,
Formacién,de,Personal,Pedagégico,"143,",.,.,-,-,-
Escuelas,de,Arte,-,-,-,-,-,-,
Escuelas,de,Deporte,-,.,.,-,-,-,
Adultos:,550,52,40,"35,",61,72,,,
Especial,404,3,24,34,25,30,,,
Prescolar,43,60,43,,,,,,
Primaria,444,812,254,,,,,,
Media,408,1278,237,,,,,,
Secundaria,basica,197,549,137,,,,,
Preuniversitario,51,237,at,,,,,,
Técnica,y,profesional,160,349,59,,,,
De,ello:,Oficios,:,:,:,,,,
Formacién,de,Personal,Pedagégico,-,143,-,,,
Escuelas,de,Arte,-,-,-,,,,
Escuelas,de,Deporte,-,-,-,,,,
Adultos:,90,120,80,,,,,,
Especial,37,192,31,,,,,,
