Total,2499,2340,2636,2636,,,,
Primaria,848,871,"936,","936,",,,,
Urbana,817,"825,",892,892,,,,
Rural,31,46,44,44,,,,
Escuela,de,Iniciacién,Deportiva,-,-,63,63,
Escuela,Vocacional,de,Arte,-,-,8,8,
Media,1480,1375,1257,1257,,,,
‘Secundaria,basica,818,700,725,725,,,
De,ello:,En,el,campo,28,29,28,28
Preuniversitario,224,254,229,229,,,,
De,ello:,En,el,campo,20,54,58,58
‘Técnica,y,profesional,377,276,"303,","303,",,
‘Técnico,medio,377,152,170,170,,,
Curso,Diurno:,"253,",152,170,170,,,
Obrero,calificado,73,43,25,25,,,
Escuela,de,oficios,104,78,0,oO,,
Curso,para,trabajadores,20,3,28,28,,
Formacién,de,personal,pedagégico,61,145,80,80,
Adultos,131,45,406,406,,,,
Educacién,Obrero,Campesina,1,5,.,.,,
Secundaria,Obrero,Campesina,5,11,"23,","23,",,
Facultad,Obrero,Campesina,117,-,265,265,,
Idiomas:,8,29,118,118,,,,
Especial,40,49,37,37,,,,
