CONCEPTO,2019/20,2020/21,2021/22,2022/23,2023
Total,11809,11864,13115,12844,10346
Total - Externos,4395,5204,4928,4718,4206
Total - Seminternos,7056,6243,7777,7790,5968
Total - Internos,358,417,410,336,172
Preescolar,752,891,2306,618,691
Preescolar - Externos,115,172,0,99,194
Preescolar - Seminternos,637,719,2306,519,497
Primaria,5375,5365,5349,5868,4860
Primaria - Externos,893,1099,1273,1459,1352
Primaria - Seminternos,4482,4266,4076,4409,3508
Primaria - Internos,-,-,-,-,-
Media,4706,4701,4572,3790,4151
Media - Externos,2703,3279,2993,2429,2288
Media - Seminternos,1655,1021,1176,1093,1701
Media - Internos,348,401,403,268,162
Adultos,668,585,593,495,346
Adultos - Externos,668,585,593,495,346
Especial,308,322,295,280,298
Especial - Externos,16,69,69,17,26
Especial - Seminternos,282,237,219,250,262
Especial - Internos,10,16,7,13,10
