Total,1431,1533,1472,1415,1338,,,
Preescolar,y,Circulos,Infantiles,328,370,391,360,299
Primaria,466,504,540,476,420,,,
Media,439,461,403,426,415,,,
Secundaria,basica,187,201,214,195,189,,
Preuniversitario,78,78,67,54,51,,,
Técnica,y,profesional,126,137,122,107,124,
De,ello:,Oficios,-,-,-,-,,
Formacién,de,Personal,Pedagdégico,48,45,47,44,51
Escuelas,de,Arte,44,42,-,12,35,
Escuelas,de,Deporte,35,35,-,31,53,
Adultos,30,30,35,32,31,,,
Educacién,obrero,campesina,-,-,-,-,0,
Secundaria,obrero,campesina,-,-,-,-,0,
Facultad,obrero,campesina,27,24,29,27,26,
Idiomas,3,5,6,5,5,,,
Especial,89,91,103,78,85,,,
