CONCEPTO,2016,2017,2018,2019,2020,2021
Primaria,-,-,-,-,5,-
Urbana,-,-,-,-,-,-
Media,4497,3706,3742,4175,3766,2971
Secundaria basica,1288,859,903,1224,1104,885
Preuniversitario,1100,797,640,589,670,461
Técnica y profesional,940,875,989,1166,874,690
De ello: Técnico medio,754,813,939,1110,880,769
Cursos básicos, Salud Pública,-,-,-,-,9,8
Formación de Personal Pedagógico,1169,1175,1210,1196,1073,840
Especial,274,241,215,206,194,177
Superior,2010,2525,ee,1824,1528,670
Ministerio de Educación Superior,949,935,ee,1039,718,433
Ministerio de Educación,-,-,-,-,-,-
Ministerio de Salud Pública,1061,1590,ee,785,810,670
