CONCEPTO,2016,2017,2018,2019,2020,2021
Circulos Infantiles,28,29,29,29,29,30
Primaria,486,489,488,488,488,493
Urbana,7,98,98,99,98,99
Rural,389,391,390,389,390,394
Media,84,84,84,85,84,94
Secundaria basica,51,51,52,52,52,57
De ello: En el campo,7,6,7,7,7,10
Preuniversitario,15,15,14,14,13,18
De ello: En el campo,5,5,4,4,3,6
Ciencias exactas,1,1,1,1,1,1
Técnica y profesional,16,16,16,17,17,17
De ello: Escuelas de oficios,3,3,3,3,3,3
Escuela de Formación de Personal Pedagógico,2,2,2,2,2,2
Escuelas de Arte,1,1,1,1,1,1
Escuelas de Deporte,1,1,1,1,1,1
Adultos,23,25,25,25,25,25
Educación Obrero Campesina,-,-,-,-,-,-
Facultad Obrero Campesina,17,18,17,17,17,17
Idiomas,6,7,8,8,8,8
Especial,15,15,15,15,15,15
Superior,2,2,2,2,2,2
Ministerio de Educación Superior,1,1,1,1,1,1
Ministerio de Educación,>,-,-,-,-,-
Ministerio de Salud Pública,1,1,1,1,1,1
Otras Instalaciones Educacionales,-,-,-,-,10,10
