CONCEPTO,2016,2017,2018,2019,2020,2021
Técnico medio,a2,1401,948,1426,4042,1902
Geologia, mineria y metalurgia,52,-,27,18,112,13
Energética,-,131,80,107,227,87
Construcción de maquinarias,14,118,103,125,307,125
Industrias azucarera, quimica y alimenticia,-,-,9,107,-,26
Electronica, automatización y comunicaciones,-,-,-,78,106,13
Transporte,20,67,74,83,153,112
Construcción,28,83,100,103,476,251
Producción agropecuaria,94,170,81,170,833,331
Economia,131,229,158,471,492,259
Salud publica,-,75,oe,168,93,oe
Otras,73,228,316,296,1243,685
Obrero calificado,1593,1605,556,347,239,375
Energética,133,46,14,oe,oe,-
Transporte,59,114,7,60,23,29
Construcción,168,153,82,69,a,a
Producción agropecuaria,202,56,30,1,36,86
tras,1031,1219,321,193,139,200
