Técnico,medio,3.238,7.133,8.279,8.816,6.472,5.832,,,
"Geologia,",mineria,y,metalurgia,42,116,237,365,101,78,
Energética,190,558,562,619,308,792,,,,
Construccién,de,maquinarias,133,827,724,1011,307,264,,
Industrias,"azucarera,",quimica,y,alimenticia,-,20,46,54,58,26
"Electrénica,",automatizacién,y,comunicaciones,64,62,76,195,30,16,
Transporte,129,34t,376,373,172,132,,,,
Construccién,304,839,872,1.035,668,545,,,,
Produccién,agropecuaria,888,1.255,1.380,1.195,1.149,909,,,
Economia,648,1.020,985,1.223,763,685,,,,
Salud,publica,-,674,455,522,482,:,,,
Curso,Basico,Saliid,publica,-,-,-,-,370,421,
Arte,-,-,123,-,-,-,,,,
Otras,840,1721,2.446,2.234,1.974,1.665,,,,
Obrero,calificado,2.152,1.558,662,1.323,1772,,,,
Construccién,de,maquinarias,32,25,-,-,6t,46,,
Transporte,204,114,82,58,106,69,,,,
Construccién,299,153,115,83,42,93,,,,
Produccién,agropecuaria,135,56,52,139,127,29,,,
tras,1.482,1.210,380,382,987,1.535,,,,
