Externos,54.146,56.322,39.638,"45.195,",42.245,39.500
Seminternos,26.049,25.977,63.897,27.974,37015,31.489
Internos.,6.579,6.473,3.957,4.028,4.695,3.818
Externos,3.961,4.055,4.446,3.757,"3.415,",3.432
Semintemos,549,574,587,551,848,603
Externos,24.645,24.563,24.578,24.544,23.734,22.582
Semintemos,10.537,10.891,10.982,10.810,10.597,10.118
Internos,7,-,-,-,5,-
Externos,15.713,14.862,14.467,12.851,10.089,8.882
Seminternos,12.351,12.588,12.968,15.993,17.856,18.801
Internos,4.040,"3.659,",3.742,3.866,"3.686,",2.971
Externos,3.829,4.075,3.696,4.036,3.721,3.619
Externos,249,187,121,137,145,"173,"
Semintemos,980,1.068,1.077,986,971,900
Internos,274,241,"215,","206,",194,177
Externos,"5.913,",8.580,9.343,8.912,7.401,
Seminternos,1.632,856,2.291,1.448,1.067,
Internos,2.265,2.573,1.824,1.528,"1.103,",
