CONCEPTO,2016/17,2017/18,2018/19,2019/20
Primaria,135,135,135,135
Urbana,76,76,76,76
Media,63,63,63,63
Secundaria basica,26,26,26,26
Preuniversitario,12,12,12,12
Ciencias exactas,41,1,41,1
Formación Emergente de Maestros,2,2,2,2
Técnica y profesional,23,23,23,23
De ello: Escuelas de oficios,7,7,7,7
Escuelas de Arte,-,-,-,-
Escuelas de Deporte,-,-,-,-
Adultos,19,19,18,18
Educación Obrero Campesina,3,3,41,1
Secundaria obrero campesina,41,1,41,1
Facultad Obrero Campesina,12,12,12,14
Idiomas,3,3,4,2
Especial,14,14,14,14
