Concepto,Total,Yaguajay,Jatibonico,Taguasco,Cabalguán,Fomento,Trinidad,Sancti Spíritus,La Sierpe
Total,2507,105,226,100,527,118,171,1072,188
Primaria,17,-,-,-,-,-,-,-,17
Primaria Urbana,-,-,-,-,-,-,-,-,-
Primaria Rural,17,-,-,-,-,-,-,-,17
Media,2121,67,141,34,477,94,149,988,171
Secundaria básica,669,...,...,...,...,...,...,...,...
Preuniversitario,273,...,...,...,...,...,...,...,...
Técnica y profesional,336,...,...,...,...,...,...,...,...
De ello: Técnico medio,336,...,...,...,...,...,...,...,...
Formación del Personal Pedagógico,843,...,...,...,...,...,...,...,...
Especial,369,38,85,66,50,24,22,84,-
Superior,...,-,-,-,-,-,-,...,-
Ministerio de Educación Superior,...,-,-,-,-,-,-,...,-
Ministerio de Salud Pública,...,-,-,-,-,-,-,...,-
