Concepto,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Total,436,443,446,451,451,451
Círculos infantiles,33,33,33,33,33,33
Primaria,288,292,292,292,292,292
Primaria Urbana,76,76,75,75,74,74
Primaria Rural,212,216,217,217,218,218
Media,73,73,75,75,75,75
Secundaria básica,38,38,38,38,39,39
De ello: En el campo,6,33,5,5,6,6
Preuniversitario,13,13,14,14,12,12
De ello: En el campo,1,1,1,1,-,-
Ciencias exactas,1,1,1,1,1,1
Técnica y profesional,20,20,21,21,22,22
De ello: Escuelas de oficios,-,-,2,2,3,3
Escuela de Formación de Personal Pedagógico,2,2,2,2,2,2
Escuelas de Arte,1,1,1,1,1,1
Escuelas de Deporte,1,1,1,1,1,1
Adultos,25,28,29,34,34,34
Educación Obrero Campesina,2,-,-,-,-,-
Facultad Obrero Campesina,22,27,27,27,27,27
Idiomas,1,2,2,7,7,7
Especial,13,13,13,13,13,13
Superior,2,2,2,2,2,2
Ministerio de Educación Superior,1,1,1,1,1,1
Ministerio de Salud Pública,1,1,1,1,1,1
