Concepto,Total,Yaguajay,Jalibonico,Taguasco,Cabalguan,Fomento,Trinidad,Sancti Spíritus,La Sierpa
Total,451,64,54,37,64,44,68,101,19
Círculos infantiles,33,4,2,3,4,3,5,11,1
Primaria,292,41,40,24,44,30,46,54,13
Media,75,11,6,6,9,8,12,20,3
Secundaria básica,39,6,3,3,4,4,8,9,2
Preuniversitario,12,3,1,1,1,1,1,3,1
Técnica y profesional,22,2,2,2,3,3,3,7,-
Escuela de Formación de Personal Pedagógico,2,-,-,-,1,-,-,1,-
Escuelas de Arte,1,-,-,-,-,-,-,1,-
Escuelas de Deporte,1,-,-,-,-,-,-,1,-
Adultos,34,7,5,3,6,2,4,5,2
Especial,13,1,1,1,1,1,1,7,-
Superior,2,-,-,-,-,-,-,2,-
