Concepto,2015/16,2016/17,2017/18,2018/19,2019/20
Total,1413,2661,1100,1009,1237
Técnico medio,490,1995,453,429,744
Geología, minería y metalurgia,73,154,-,-,-
Energética,48,122,-,-,-
Construcción de maquinarias,27,154,-,-,-
Electrónica, automatización y comunicaciones,31,19,19,22,-
Transporte,217,201,46,43,153
Construcción,33,233,23,14,237
Producción agropecuaria,61,189,...,64,49
Economía,-,737,176,140,153
Salud pública,-,186,189,...,86
Otras,-,-,-,146,66
Obrero calificado,923,666,647,580,493
Geología, minería y metalurgia,338,-,-,-,-
Energética,55,98,66,10,-
Transporte,37,155,41,65,55
Construcción,-,208,76,68,83
Producción agropecuaria,-,165,73,71,59
Otras,493,40,391,366,296
