CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,5632,5694,1917,2597,5925,4446
Primaria,191,105,8,10,4,2
Urbana,4,-,-,-,-,-
Rural,187,105,8,10,4,2
Media,3096,3012,1764,1842,1664,1333
Secundaria básica,990,821,277,295,272,214
Preuniversitario,793,829,541,564,417,358
Técnica y profesional,946,980,628,665,577,432
De ello: Técnico medio,612,580,580,592,462,407
Formación de Personal Pedagógico,367,382,318,318,398,329
Especial,147,140,145,159,144,131
Superior,2198,2437,...,586,4113,2980
Ministerio de Educación Superior,778,691,...,586,1168,846
Ministerio de Salud Pública,1420,1746,...,...,2945,2134
