CONCEPTO,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Total,1465,1318,1207,1099,2669,1532
Técnico medio,551,641,586,755,2419,1045
Energética,-,-,-,17,30,-
Industrias azucarera, química y alimenticia,41,43,193,111,-
Electrónica, automatización y comunicaciones,-,-,61,62,-
Transporte,14,34,50,52,101,69
Construcción,80,49,23,24,266,59
Producción agropecuaria,96,138,98,125,520,203
Economía,79,84,95,95,713,246
Salud pública,160,230,88,93,-,-
Otras,122,106,191,323,548,265
Obrero calificado,914,677,621,344,250,487
Industrias azucarera, química y alimenticia,181,19,43,12,-
Transporte,47,23,35,24,17,30
Construcción,302,173,184,134,56,91
Producción agropecuaria,89,153,88,83,71,121
Otras(3),295,328,295,60,94,245
