CONCEPTO,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Total,13671,13290,14929,11620,13065,12286
Primaria,3733,3623,3901,3969,3948,3933
Urbana,3174,3108,3421,3468,3463,3439
Rural,481,455,480,501,485,494
Escuela de Iniciación Deportiva,30,32,-,-,-,-
Escuela Vocacional de Arte,48,28,-,-,-,-
Media,8121,7988,6578,6462,7575,6299
Secundaria básica,4420,4164,3651,3706,3339,3557
De ello: En el campo,457,395,394,415,342,346
Preuniversitario,1561,1658,1437,1490,1320,1156
De ello: En el campo,126,162,170,189,129,108
Técnica y profesional,1975,1993,1326,1094,2669,1338
Técnico medio,1402,231,662,690,2419,1045
Obrero calificado,176,208,344,404,250,293
Formación de personal pedagógico,165,173,164,172,247,248
Adultos,832,773,3093,451,581,551
Educación Obrero Campesina,68,37,15,-,6,6
Secundaria Obrero Campesina,161,165,195,-,97,142
Facultad Obrero Campesina,503,482,2873,451,347,308
Idiomas,100,89,10,-,131,95
Especial,113,116,126,153,103,132
Superior,872,790,1231,585,858,1371
