CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,33724,33811,26587,31299,34806,30662
Preescolar,1280,1278,1297,1336,1227,1206
Primaria,12296,12243,12072,12159,11387,10948
Urbana,10518,10526,10448,10496,9806,9449
Rural,1629,1600,1624,1663,1581,1499
Escuela de Iniciación Deportiva,78,40,-,-,-,-
Escuela Vocacional de Arte,71,77,-,-,-,-
Media,12335,11974,11154,10981,10158,9632
Secundaria básica,5907,5588,5373,5407,5592,5560
De ello: En el campo,527,526,510,532,493,474
Escuela de Iniciación Deportiva,271,203,-,-,-,-
Escuela Vocacional de Arte,80,64,-,-,-,-
Preuniversitario,3174,2934,2696,2750,2220,2201
De ello: En el campo,342,308,282,306,216,217
Ciencias exactas,253,253,277,298,215,188
Escuela de Iniciación Deportiva,126,121,-,-,-,-
Técnica y profesional,2478,2745,2221,2062,1547,1208
De ello: Técnico medio,2055,1780,2178,2001,1187,1036
Oficios,76,78,43,61,81,-
Cursos del Ministerio del Azúcar,-,-,15,-,-,-
Centros Politécnicos Otros Organismos,347,555,-,-,-,-
Formación de Personal Pedagógico(a),776,707,864,762,799,663
Curso de Lengua Española, Historia de Cuba y Matemáticas,94,24,-,-,-,-
Adultos,1727,1716,1627,1732,1457,1073
Educación obrero campesina,21,4,3,5,4,3
Secundaria obrero campesina,68,25,30,46,22,18
Facultad obrero campesina,1446,1259,1213,1251,1077,658
Idioma,192,428,381,430,354,394
Especial,479,449,437,467,411,408
Superior,5607,6151,...,4624,10166,7395
Ministerio de Educación Superior,3374,3689,...,4624,6100,4437
Ministerio de Salud Pública,2233,2462,...,...,4066,2958
