CONCEPTO,Total,Aguada,Rodas,Palmira,Lajas,Cruces,Cumanayagua,Cienfuegos,Abreus
Total de matrícula,58792,3900,3801,3774,2396,3197,5566,32103,4055
Pre- escolar,2435,231,253,273,139,237,253,739,310
Primaria,22823,1937,1903,1820,1198,1537,2811,9594,2023
Media,19037,1493,1423,1362,907,1163,2126,9039,1524
Secundaria básica,11289,930,974,970,565,797,1350,4678,1025
Preuniversitario,3583,247,216,229,132,205,386,1875,293
Técnica y profesional,3306,316,233,163,210,161,390,1627,206
Formación de Personal Pedagógico(a),859,-,-,-,-,-,-,859,-
Adultos,1869,117,136,197,92,148,257,829,93
Especial,1295,122,86,122,60,112,119,569,105
Superior,11333,-,-,-,-,-,-,11333,-
