CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,66225,66486,54206,61541,66072,58792
Preescolar,2694,2628,2716,2716,2510,2435
Primaria,25138,25295,25091,25152,23621,22823
Urbana,21585,21771,21704,21742,20361,19678
Rural,3311,3358,3387,3410,3260,3145
Escuela de Iniciación Deportiva,152,72,-,-,-,-
Escuela Vocacional de Arte,90,94,-,-,-,-
Media,25109,24306,22293,22488,20518,19037
Secundaria básica,12153,11335,10854,10912,11298,11289
De ello: En el campo,1148,1112,1058,1080,1061,1023
Escuela de Iniciación Deportiva,696,494,-,-,-,-
Escuela Vocacional de Arte,112,97,-,-,-,-
Preuniversitario,4912,4619,4165,4211,3568,3583
De ello: En el campo,525,475,420,443,335,356
Ciencias exactas,396,435,465,473,356,301
Escuela Superior de Perfeccionamiento Atlético,302,298,-,-,-,-
Técnica y profesional,6996,7289,6065,6139,4586,3306
De ello: Técnico medio,5756,5773,5933,5920,2973,2454
Oficios,437,366,132,219,571,-
Cursos del Ministerio del Azúcar,-,-,-,-,-,-
Centros Politécnicos Otros Organismos,803,1150,-,-,-,-
Formación Personal Pedagógico (a),1048,1063,1209,1226,1066,859
Curso de Lengua Española, Historia de Cuba y Matemáticas,153,73,24,-,-,-
Adultos,3280,3631,2799,2851,2509,1869
Educación obrero campesina,65,27,6,9,9,22
Secundaria obrero campesina,309,366,83,83,116,63
Facultad obrero campesina,2587,2589,2111,2132,1834,1207
Idioma,319,649,599,627,550,577
Especial,1336,1299,1283,1307,1274,1295
Superior,8515,9254,...,7027,15640,11333
Ministerio de Educación Superior,5351,5772,...,7027,9759,7072
Ministerio de Salud Pública,3164,3482,...,...,5881,4261
