CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,5123,5563,5179,6139,3544,3761
Técnico medio,4155,4721,4393,5920,2973,2454
Geología, minería y metalurgia,15,14,-,-,-,-
Energética,-,18,24,78,30,91
Industrias azucarera, química y alimenticia,198,301,398,503,392,107
Electrónica, automatización y comunicaciones,89,109,-,186,113,19
Transporte,186,212,10,227,182,148
Construcción,424,464,96,714,260,259
Producción agropecuaria,796,876,613,764,399,402
Economía,639,750,780,1076,914,882
Salud pública,431,381,386,-,-,-
Otras,1377,1596,2086,2372,683,546
Obrero calificado,968,842,786,219,571,1307
Industrias azucarera, química y alimenticia,143,247,247,35,7,47
Transporte,101,50,45,22,70,70
Construcción,313,198,106,43,173,249
Producción agropecuaria,141,130,125,34,266,455
Otras(a),270,217,263,85,55,486
