CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,63443,66413,53166,54534,64560,58792
Externos,38428,37419,30429,31110,33919,30337
Seminternos,21106,23300,20820,21415,24716,24009
Internos,3909,5694,1917,2009,5925,4446
Presecolar,2694,2628,2716,2716,2510,2435
Externos,2356,2296,2368,2368,2098,2052
Seminternos,338,332,348,348,412,383
Primaria,24896,25295,25091,25152,26248,22823
Externos,11796,11737,11989,11631,13120,10037
Seminternos,13090,13453,13094,13513,13124,12784
Internos,10,105,8,8,4,2
Media,21820,24306,21277,22488,16212,19037
Externos,13315,13984,13030,14026,6442,9380
Seminternos,6766,7310,6483,6620,8106,8324
Internos,1739,3012,1764,1842,1664,1333
Adultos,3280,3631,2799,2871,2509,1869
Externos,3280,3631,2799,2871,2509,1869
Especial,1336,1299,1283,1307,1441,1295
Externos,277,244,243,214,397,221
Seminternos,912,915,895,934,900,943
Internos,147,140,145,159,144,131
Superior,9417,9254,7027,15640,11333
Externos,7404,5527,153,9353,6778
Seminternos,1290,6288,2174,1575
Internos,2013,2437,586,4113,2980
