CONCEPTO,Total,Aguada,Rodas,Palmira,Lajas,Cruces,Cumanayagua,Cienfuegos,Abreus
Total,6782,478,608,558,443,566,1022,2462,645
Prescolar,285,21,33,23,25,37,43,60,43
Primaria,2577,194,277,210,182,204,444,812,254
Media,2966,180,234,256,150,223,408,1278,237
Secundaria básica,1445,72,126,143,74,147,197,549,137
Preuniversitario,513,35,43,47,25,34,51,237,41
Técnica y profesional,865,73,65,66,51,42,160,349,59
De ello: Oficios,-,-,-,-,-,-,-,-,-
Formación de Personal Pedagógico,143,-,-,-,-,-,-,143,-
Escuelas de Arte,-,-,-,-,-,-,-,-,-
Escuelas de Deporte,-,-,-,-,-,-,-,-,-
Adultos,550,52,40,35,61,72,90,120,80
Especial,404,31,24,34,25,30,37,192,31
