CONCEPTO,2019/20,2020/21,2021/22,2022/23,2023
Escuelas por educaciones,1,1,1,1,1
Personal docente frente al aula por educaciones,217,230,249,192,221
Matrícula inicial por educaciones,1728,1871,1906,1696,1260
Matrícula inicial (mujeres) por educaciones,1013,1110,1110,1053,815
Graduados por educaciones,128,246,-,-,-
Graduados (mujeres) por educaciones,75,153,-,-,-
Becarios por educaciones,...,-,...,...,...
Número de alumnos por régimen de estudio,1728,1873,1906,1696,1260
Externos,1446,1575,1572,1532,1109
Semiinternos,282,298,334,164,151
Internos,-,-,-,-,-
