CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,5390,8691,8908,9478,7795,7604
Técnico medio,3238,7133,8279,8816,6472,5832
Geología, minería y metalurgia,42,116,237,355,101,78
Energética,190,558,562,619,308,792
Construcción de maquinarias,133,527,721,1011,397,264
Industrias azucarera, química y alimenticia,0,20,46,54,58,26
Electrónica, automatización y comunicaciones,64,62,76,95,70,16
Transporte,129,341,376,373,172,132
Construcción,304,839,872,1035,668,545
Producción agropecuaria,888,1255,1380,1195,1149,909
Economía,648,1020,985,1223,763,685
Salud pública,0,674,455,522,482,0
Curso Básico Salud pública,0,0,0,0,370,421
Arte,0,0,123,0,0,0
Otras,840,1721,2446,2234,1974,1665
Obrero calificado,2152,1558,629,662,1323,1772
