CONCEPTO,Total,Manati,Puerto Padre,Jesús Menéndez,Majibacoa,Las Tunas,Jobabo,Colombia,Amancio
Total de matrícula,116987,4484,13797,6439,6911,36935,7073,5060,6204
Círculos Infantiles,5694,288,924,214,189,2884,490,338,367
De ello: Preescolar,1037,47,161,27,36,576,78,72,71
Casitas Infantiles,257,15,29,4,38,58,40,22,31
Pre-escolar,4035,195,647,214,265,1585,342,195,271
Primaria,32700,1626,5092,2670,2639,13646,2670,1925,2471
Media,29651,1423,4556,1953,2192,7072,1299,1005,1225
Secundaria básica,16192,926,2564,1123,1195,7072,1299,1005,1225
Preuniversitario,4950,193,725,403,543,2885,269,509,479
Técnica y profesional,8025,358,963,388,537,4163,549,462,486
Formación de Personal Pedagógico,1625,180,515,353,508,1110,306,172,314
Adultos,3618,180,454,353,508,1266,371,172,314
Curso de Lengua Española, Historia de Cuba y Matemáticas,77,-,-,-,-,-,-,-,-
Programa de formación y superación para jóvenes,996,104,243,42,27,181,270,73,56
Especial,1250,89,185,75,39,658,88,55,57
Superior,6880,511,1495,677,866,1454,775,516,85
