CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,45548,48867,40512,49195,40802,36590
Círculos Infantiles,2620,2623,2592,2382,2448,2724
De ello: Preescolar,,2623,2592,2382,2448,2724
Casitas infantiles,,,,,,,
Preescolar,2700,2448,2461,2052,2065,2072
Primaria,16935,17215,17316,17056,16157,15747
Urbana,11337,11425,11456,11307,10726,10452
Rural,5598,5790,5860,5749,5431,5295
Escuela de Iniciación Deportiva,,,,,,,
Escuela Vocacional de Arte,,,,,,,
Media,16382,16870,15481,15980,15108,13921
Secundaria básica,7133,7172,7082,7885,7805,7785
De ello: En el campo,774,701,739,786,3179,769
Escuela de Iniciación Deportiva,165,164,189,191,192,191
Escuela Vocacional de Arte,,,,,,,
Preuniversitario,4434,4390,3759,3289,3179,3187
De ello: En el campo,1015,1079,1082,1057,612,551
Ciencias exactas,1015,1079,1082,1057,612,551
Escuela de Iniciación Deportiva,,,,,,,
Técnica y profesional,2745,3134,3148,3412,3746,2765
De ello: Técnico medio,2253,2113,2576,2839,2646,2646
Oficios,126,123,142,159,261,306
Cursos básicos Salud Pública,,,,,,,
Cursos del Ministerio del Azúcar,,,,,,,
Centros Politécnicos Otros Organismos,,566,380,,,
Escuela Vocacional de Arte,,,,,,,
Formación de Personal Pedagógico(a),1304,1300,1393,1383,1242,1086
Curso de Lengua Española Historia de Cuba y Matemáticas,56,59,103,105,122,123
Adultos,2013,2131,2025,2042,2038,2038
Educación obrero campesina,1304,1300,1393,1383,1242,1086
Secundaria obrero campesina,1304,1300,1393,1383,1242,1086
Facultad obrero campesina,,,,,,,
Idioma,502,505,505,505,505,505
Cursos del Ministerio del Azúcar,,,,,,,
Especial,483,508,456,498,498,498
Programa de formación y superación para jóvenes,,,,,,,
Superior,6319,7272,,8233,8377
Ministerio de Educación Superior,3674,4682,,5496,5648
Ministerio de Educación,1302,1395,,1487,1529
Ministerio de Salud Pública,2645,2786,,2700,2377
Instituto Nacional de Deporte Educación Física y Recreación,,,,,,,
