CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,94218,95657,83482,96850,91880,76948
Círculos Infantiles,5458,5572,5598,5117,5195,5054
De ellos: Preescolar,1108,1100,1100,1116,1122,1037
Casitas infantiles,-,-,-,-,-,-
Preescolar,5618,4629,5033,4335,4405,4145
Primaria,35252,35157,35714,35444,34426,30678
Urbana,23491,23748,23957,23715,22916,20321
Rural,11691,11706,11757,11639,11511,10661
Escuela de Iniciación Deportiva,-,-,-,-,-,-
Escuela Vocacional de Arte,-,-,-,-,-,-
Media,32748,32920,31991,33350,31067,29651
Secundaria básica,15048,14704,14605,16180,16136,15192
De ellos: En el campo,1623,1565,1649,1653,1655,1662
Escuela de Iniciación Deportiva,630,388,403,407,433,-
Escuela Vocacional de Arte,-,-,-,-,-,-
Preuniversitario,7165,6461,6119,5430,5132,4850
De ellos: En el campo,1516,1384,1334,1303,1289,1282
Ciencias exactas,738,796,834,899,880,-
Escuela de Iniciación Deportiva,1061,1034,1083,1084,1084,-
Técnica y profesional,8473,8417,8943,8978,8476,7805
De ellos: Técnico medio,5884,5649,6178,6175,5835,5372
Oficios,999,955,143,287,871,1580
Cursos básicos Salud Pública,-,-,-,-,-,-
Cursos del Ministerio del Azúcar,-,-,-,-,-,-
Centros Politécnicos Otros Organismos,1590,1813,2622,2516,1770,853
Escuela Vocacional de Arte,-,-,-,-,-,-
Formación Personal Pedagógico (a),2062,1768,2324,2262,1962,1625
Curso de Lengua Española Historia de Cuba y Matemática,96,136,158,57,-,-
Adultos,3829,3646,3587,3416,3181,2878
Educación obrero campesina,275,236,260,260,260,260
Secundaria obrero campesina,1340,1204,1149,1149,1149,1149
Facultad obrero campesina,2275,2573,2279,2279,2187,1469
Idioma,-,-,-,-,-,-
Cursos del Ministerio del Azúcar,-,-,-,-,-,-
Especial,1503,1414,1329,1329,1318,1318
Superior,8140,7913,13414,13414,11888,-
Ministerio de Educación Superior,5840,5760,11118,11118,9592,-
Ministerio de Educación,2300,2153,2296,2296,2296,-
Ministerio de Salud Pública,3970,4154,-,-,-,-
Instituto Nacional de Deporte Educación Física y Recreación,-,-,-,-,-,2059
