CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
Total,16645,17093,15234,15367,15531,14895
Circulos Infantiles,877,808,880,913,884,827
De ello: Preescolar,57,81,57,57,57,65
Prescolar,479,529,537,710,727,557
Primaria,7349,7415,7673,7604,7614,7515
Media,4378,4226,4637,4935,4987,4788
Secundaria básica,2246,2140,2336,2414,2461,2420
Preuniversitario,828,803,863,924,930,835
Técnica y profesional,1031,998,1151,1298,1309,1278
De ello: Oficios,73,64,62,67,69,74
Formación de Personal Pedagógico,273,285,287,299,287,255
Escuelas de Arte,-,137,200,-,-,-
Escuelas de Deporte,92,97,96,-,97,90
Adultos,275,273,263,262,273,266
Educación obrero campesina,10,16,-,7,4,8
Secundaria obrero campesina,17,21,2,8,6,10
Facultad obrero campesina,217,195,189,208,188,191
Curso MINAZ,-,-,-,-,-,-
Idiomas,31,41,72,42,52,57
Especial,1042,870,948,943,849,852
Superior,2153,2738,-,2305,1099,2178
Ministerio de Educación Superior,954,1422,-,1023,883,883
Ministerio de Educación,-,-,-,-,-,-
Ministerio de Salud Pública,1199,1316,-,1282,1099,1295
Instituto Nacional de Deporte, Educación Física y Recreación,-,-,-,-,-,-
