CONCEPTO,2018/19,2019/20,2020/21,2021/22,2022/23
Total,29932,28858,30843,26497,...
Círculos Infantiles,1651,1703,1871,1881,...
Preescolar,1819,1802,1871,1645,...
Primaria,11205,11404,11494,11389,...
Urbana,9306,9469,9551,9384,...
Rural,1899,1935,1943,2005,...
Escuela de Iniciación Deportiva,-,-,-,-,...
Escuela Vocacional de Arte,-,-,-,-,...
Media,10328,10068,9984,9928,...
Secundaria básica,5073,4957,4958,5139,...
De ello: En el campo,-,-,-,-,...
Escuela de Iniciación Deportiva,-,-,-,-,...
Escuela Vocacional de Arte,-,-,-,-,...
Preuniversitario,2598,2461,2325,2178,...
De ello: En el campo,-,-,-,-,...
Ciencias exactas,-,-,200,194,...
Escuela Superior de Perfeccionamiento Atlético,-,-,-,-,...
Escuela Vocacional de Arte,-,-,-,-,...
Formación Emergentes (maestros),546,571,527,625,...
Técnica y profesional,2111,2079,2084,1986,...
De ello: Técnico medio,-,-,-,-,...
Oficios,-,-,24,30,...
Cursos del Ministerio del Azúcar,-,-,-,-,...
Centros Politécnicos (Ministerio Educación),2071,2045,2054,1954,...
Otros Organismos,-,-,861,824,...
Escuela de Oficios,40,34,30,32,...
Curso de Lengua Española, Historia de Cuba y Matemáticas,-,-,-,-,...
Adultos,1604,1697,1626,1262,...
Educación obrero campesina,12,12,12,-,...
Secundaria obrero campesina,2,2,-,-,...
Facultad obrero campesina,1257,1275,1275,1262,...
Idioma,345,378,323,328,...
Cursos del Ministerio del Azúcar,-,-,-,-,...
Especial,345,343,328,305,...
Superior,2980,1841,3817,-,...
Ministerio de Educación Superior,2980,1841,3817,-,...
Ministerio de Educación,-,-,-,-,...
Ministerio de Salud Pública,-,-,-,-,...

