Concepto,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Total,5437,5694,5984,5726,4372,2507
Primaria,221,199,186,121,105,17
Primaria Urbana,-,-,-,-,88,-
Primaria Rural,26,21,18,20,17,17
Media,3733,3444,3498,3331,3520,2121
Secundaria básica,1501,1412,1265,1247,1383,669
Preuniversitario,620,612,640,579,567,273
Técnica y profesional,928,665,818,737,513,336
De ello: Técnico medio,494,393,451,454,395,336
Formación del Personal Pedagógico,684,755,775,768,1057,843
Especial,482,458,430,401,387,369
Superior,1001,1593,1870,1873,360,...
Ministerio de Educación Superior,274,397,339,331,360,...
Ministerio de Salud Pública,727,1196,1531,1542,...,...
