Concepto,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
Total,15869,16558,15623,15010,13423,11749
Primaria,4673,4673,4030,4329,4732,4894
Primaria Urbana,3531,3422,3054,3280,3733,3808
Primaria Rural,1056,975,872,951,999,1086
Escuela de Iniciación Deportiva,64,69,70,59,...,...
Escuela Vocacional de Arte,22,39,34,39,...,...
Media,8622,9150,8651,8094,7149,6558
Secundaria básica,4719,5021,4848,4368,4109,3261
De ello: En el campo,492,565,574,542,481,-
Preuniversitario,1632,1684,1684,1579,1614,1544
De ello: En el campo,98,97,88,84,102,86
Técnica y profesional,2091,2252,1957,1961,1237,1527
Técnico medio,1814,1974,1611,1579,695,989
Obrero calificado,324,278,268,342,427,385
Formación de personal pedagógico,180,193,162,186,189,226
Adultos,1633,1801,1984,1541,134,111
Educación Obrero Campesina,98,112,94,115,27,29
Secundaria Obrero Campesina,344,344,306,330,85,-
Facultad Obrero Campesina,1071,1275,1457,1048,...,-
Idiomas,120,70,127,48,22,82
Especial,306,296,310,312,332,186
Superior,635,638,648,734,1076,...
