Concepto,2016/17,2017/18,2018/19,2019/20,2020/21
Total,4618,3408,3734,5890,5230
Técnico medio,2544,2780,2537,4902,4644
Energética,-,-,-,-,-
Construcción de maquinarias,-,-,-,-,-
Industrias azucarera, química y alimenticia,17,19,35,-,46
Electrónica, automatización y comunicaciones,124,201,107,285,295
Transporte,207,233,231,259,253
Construcción,98,18,266,295,324
Producción agropecuaria,579,582,748,907,-
Economía,649,737,402,972,1111
Salud pública,-,990,748,750,...
Otras,870,-,-,1434,2615
Obrero calificado,2074,628,1197,988,586
Industrias azucarera, química y alimenticia,46,66,63,59,28
Transporte,187,155,184,146,66
Construcción,295,208,208,239,159
Producción agropecuaria,182,165,161,102,100
Otras,1364,34,581,442,233
