Concepto,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Total,39471,38568,38785,40437,38563,32092
Prescolar (a),2310,2323,2019,2459,4335,2147
Primaria,13571,13598,14175,14314,14393,14147
Primaria Urbana,10290,10518,10811,10959,11007,10857
Primaria Rural,3142,3151,3217,3240,3281,3290
Escuela de Iniciación Deportiva,82,87,67,40,30,...
Escuela Vocacional de Arte,84,77,80,75,75,...
Media,14414,13812,13234,12830,13022,12141
Secundaria básica,7270,6892,6360,6198,6400,6442
De ello: En el campo,866,840,742,689,706,731
Escuela de Iniciación Deportiva,201,205,183,183,195,...
Escuela Vocacional de Arte,28,43,49,66,70,...
Preuniversitario,3431,3494,3465,3286,3091,2700
De ello: En el campo,179,204,216,218,200,182
Ciencias exactas,358,366,409,410,460,451
Escuela de Iniciación Deportiva,75,89,98,110,80,...
Técnica y profesional,2792,2636,2654,2617,2429,2156
De ello: Técnico medio,1894,1790,1844,1981,2050,2112
Oficios,28,20,61,53,21,44
Centros Politécnicos Otros Organismos,870,826,749,583,358,-
Formación de Personal Pedagógico (b),795,790,755,729,1102,843
Curso de Lengua Española, Historia de Cuba y Matemáticas,126,104,103,114,-,40
Adultos,3270,3024,2730,3139,810,3081
Educación obrero campesina,61,62,62,63,59,68
Secundaria obrero campesina,164,144,148,168,118,187
Facultad obrero campesina,2837,2586,2337,2569,383,2491
Idioma,208,232,183,339,250,335
Especial,533,515,536,539,546,536
Superior,5373,5192,5988,7042,5457,...
Ministerio de Educación Superior,3403,2931,3318,4195,5457,...
Ministerio de Salud Pública,1970,2261,2670,2847,...,...
