CONCEPTO,Total,Yaguajay,Jatibonico,Taguasco,Cabalguán,Fomento,Trinidad,Sancti Spiritus,La Sierpe
Total de matrícula,70832,6451,5904,4443,8580,3869,10650,21722,2465
Prescolar (a),8794,829,718,662,1151,575,1386,3199,274
Primaria,28973,3028,2843,2058,3605,1731,5198,9218,1292
Media,24689,2499,2110,1623,3550,1463,3905,8675,864
Secundaria básica,13201,1485,1229,1067,1551,845,2300,4190,534
Preuniversitario,4247,435,338,279,523,289,612,1653,118
Técnica y profesional,5930,579,543,277,1075,329,993,1922,212
Formación de Personal Pedagógico (b),1311,-,-,-,401,-,-,910,-
Curso de Lengua Española, Historia de Cuba y Matemáticas,88,...,...,...,...,...,...,...,...
Adultos,6660,...,...,...,...,...,...,...,...,...
Especial,1628,95,233,100,274,100,161,630,35
Superior,...,-,-,-,-,-,-,...,-
