Concepto,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Total,83516,82291,82395,84236,79805,70832
Círculos infantiles,4962,4888,4867,4935,4946,4995
De ello: Prescolar,604,596,596,612,612,600
Prescolar en escuela Primaria,4401,4164,4237,4222,4161,3799
Primaria,28246,28711,29266,29615,29561,28973
Primaria Urbana,21405,21866,22365,22694,22669,22276
Primaria Rural,6570,6583,6670,6754,6738,6697
Escuela de Iniciación Deportiva,127,144,133,70,97,...
Escuela Vocacional de Arte,144,118,98,97,57,...
Media,28610,27641,26418,25951,26073,24689
Secundaria básica,14746,14002,12999,12683,13319,13201
De ello: En el campo,1827,1724,1577,1475,1495,1576
Escuela de Iniciación Deportiva,523,519,438,482,490,...
Escuela Vocacional de Arte,41,64,77,88,93,...
Preuniversitario,5392,5394,5436,5138,4945,4247
De ello: En el campo,287,300,315,302,280,255
Ciencias exactas,589,609,675,670,731,731
Escuela Superior de Perfeccionamiento Atlético,243,247,268,258,260,...
Técnica y profesional,7270,7140,6841,7011,6238,5930
De ello: Técnico medio,5171,5124,5220,5409,5555,5438
Oficios,774,671,498,652,117,492
Centros Politécnicos Otros Organismos,1325,1345,1123,950,566,-
Formación Personal Pedagógico (a),1008,1105,1142,1119,1571,1311
Curso de Lengua Española, Historia de Cuba y Matemáticas,194,219,153,160,-,88
Adultos,7258,6904,6633,7126,5108,6660
Educación obrero campesina,299,282,254,131,93,134
Secundaria obrero campesina,671,768,843,929,244,932
Facultad obrero campesina,5911,5455,5216,5474,4330,4981
Idioma,377,399,320,592,441,613
Especial,1600,1594,1641,1672,1650,1628
Superior,8245,8170,9180,10555,8306,...
Ministerio de Educación Superior,5273,4721,5345,6458,8306,...
Ministerio de Salud Pública,2972,3449,3835,4097,...,...
