CONCEPTO,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Total,74491,82291,82395,84236,79805,70882
Externos (a),44105,48419,47987,49685,47326,40171
Semiinternos (b),24387,28178,28424,28825,28107,28154
Internos,5999,5694,5984,5726,4372,2507
Prescolar (b),5005,4760,4833,4834,4773,4399
Externos,2423,2382,2341,2254,2430,2144
Semiinternos,2582,2378,2492,2580,2343,2255
Primaria,28246,28711,29266,29615,29561,28973
Externos,14539,14854,14950,15098,15055,14791
Semiinternos,13486,13658,14130,14396,14401,14165
Internos,221,199,186,121,105,17
Media,28416,27641,26418,25951,26073,24689
Externos,18430,17873,16780,16545,16318,15951
Semiinternos,6253,6324,6140,6075,6235,6617
Internos,3733,3444,3498,3331,3520,2121
Adultos,7258,6904,6633,7126,5108,6660
Externos,7258,6904,6633,7126,5108,6660
Especial,1600,1594,1641,1672,1650,1628
Externos,372,363,437,486,518,537
Semiinternos,746,773,774,785,745,722
Internos,482,458,430,401,387,369
Superior,3966,8170,9180,10555,8306,...
Externos,1083,5824,6693,8016,7897,...
Semiinternos,1320,753,617,666,49,...
Internos,1563,1593,1870,1873,360,...
