CONCEPTO,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Total,10479,10497,10334,10816,8945,7665
Círculos infantiles,763,706,690,665,787,810
De ello: Prescolar,44,46,45,47,60,45
Prescolar,391,341,333,343,345,341
Primaria,2962,2930,2883,3349,3245,3301
Media,2867,2615,2396,2584,2555,2552
Secundaria básica,1324,1175,1084,1187,1085,1061
Preuniversitario,452,427,410,485,464,448
Técnica y profesional,735,687,620,799,897,943
De ello: Oficios,-,-,41,43,49,45
Formación de Personal Pedagógico,104,107,96,113,109,100
Escuelas de Arte,57,69,59,59,58,...
Escuelas de Deporte,213,213,213,252,174,...
Adultos,231,224,212,252,234,223
Educación obrero campesina,8,5,6,8,-,10
Secundaria obrero campesina,14,11,17,17,-,7
Facultad obrero campesina,196,190,180,207,212,186
Idiomas,6,6,9,20,22,20
Especial,429,437,436,493,463,438
Superior,2693,2843,3030,2819,1084,...
Ministerio de Educación Superior,905,1104,973,941,1084,...
Ministerio de Salud Pública,1938,1926,1557,1878,...,...
