CONCEPTO,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22
Total,12470,12324,11069,12171,12528,9334
Prescolar,1336,1245,333,343,345,341
Primaria,4317,4253,4234,4783,4804,4921
Media,2812,2812,2358,2785,2772,3135
Secundaria básica,1437,1297,1183,1329,1269,1391
Preuniversitario,520,486,455,537,521,573
Técnica y profesional,727,637,607,780,845,1031
De ello: Oficios,...,...,44,48,56,54
Formación de Personal Pedagógico,128,125,113,139,137,140
Escuelas de Arte,...,...,64,59,59,...
Escuelas de Deporte,...,...,...,252,252,...
Adultos,226,226,214,254,237,228
Educación obrero campesina,9,6,6,8,-,10
Secundaria obrero campesina,15,12,17,17,-,7
Facultad obrero campesina,196,190,182,209,215,191
Idiomas,6,6,9,20,22,20
Especial,745,754,700,757,721,709
Superior,3034,3034,3166,2938,3338,...
Ministerio de Educación Superior,1096,1104,1184,973,1369,...
Ministerio de Salud Pública,1938,1926,1982,1965,1969,...
