CONCEPTO,Total,Yaguajay,Jatibonico,Taguasco,Cabalguán,Fomento,Trinidad,Sancti Spíritus,La Sierpe
Total,7665,892,780,543,1040,653,1235,2272,250
Prescolar (a),1151,153,89,101,137,108,203,321,39
Primaria,3301,355,372,244,444,277,573,907,129
Media,2552,308,243,148,342,227,402,810,72
Secundaria básica,1061,134,96,70,113,101,217,296,34
Preuniversitario,448,72,31,36,60,50,54,129,16
Técnica y profesional,943,102,116,42,119,76,131,335,22
De ello: Oficios,45,-,19,-,13,-,-,13,-
Formación de Personal Pedagógico,100,-,-,-,50,-,-,50,-
Escuelas de Arte,...,-,-,-,-,-,-,...,-
Escuelas de Deporte,...,-,-,-,-,-,-,...,-
Adultos,223,47,22,16,57,15,28,32,6
Especial,438,29,54,34,60,26,29,202,4
Superior,...,-,-,-,-,-,-,...,-
