CURSOS / MUNICIPIOS,Círculos infantiles,Matrícula inicial,Personal docente frente al aula,Relación alumno/personal docente frente al aula
2019-2020,49,5350,651,8.2
2020-2021,49,5357,725,7.4
2021-2022,49,5269,775,6.8
2022-2023,49,5098,792,6.4
2023-2024,49,4984,720,6.9
Bahía Honda,2,319,61,5.2
Mariel,3,293,54,5.4
Guanajay,2,341,40,8.5
Caimito,7,354,74,4.8
Bauta,7,497,60,8.3
San Antonio de los Baños,6,654,78,8.4
Güira de Melena,5,394,58,6.8
Alquizar,3,282,58,4.9
Artemisa,6,861,102,8.4
Candelaria,2,202,29,7.0
San Cristóbal,6,787,106,7.4
