TIPO DE EDUCACIÓN / ZONA,Total,Puras,Mixtas (1)
Total,384,355,29
Círculos infantiles,49,49,
Primaria,217,154,23
Urbana,103,88,15
Rural,114,106,8
Media,77,71,0
Secundaria Básica,39,35,4
Urbana,38,35,3
Rural,1,-,1
Preuniversitario,15,14,1
Urbana,13,13,-
Rural,1,-,1
Ciencias Exactas,1,1,-
Técnica y Profesional,22,21,1
Centros Politécnicos,14,13,1
Industrial,-,-,-
Agropecuario,-,-,-
Contabilidad,-,-,-
Servicios,-,-,-
Escuelas de Oficios,8,8,-
Formación de Personal Pedagógico,1,1,-
Especial,12,12,1
Adultos,29,29,-
Facultad Obrero-Campesina Idiomas,21,21,-
,8,8,-
