TIPO DE EDUCACIÓN,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
Total,16267,18149,13796,13862,13965
Primaria,4610,5330,5309,5138,5213
Media,9648,9234,7941,7549,7793
Secundaria Básica,4729,4707,4333,4225,4590
Preuniversitario,1850,1741,1604,1525,1426
Ciencias Exactas,136,126,120,126,109
Técnica y Profesional,2213,1651,1855,1680,1609
Centros Politécnicos,1754,1492,1708,1525,1469
Escuelas de Oficios,180,159,147,155,140
Formación de Personal Pedagógico,142,135,149,119,158
Especial,530,330,373,364,341
Adultos,1279,4475,473,811,602
