CURSOS / MUNICIPIOS,Total,Interno,Seminerno,Externo
2019-2020,80928,3662,36038,41228
2020-2021,80043,3387,35175,41481
2021-2022,79137,3307,36335,39495
2022-2023,72891,1614,37346,33931
2023-2024,71154,1407,34140,35607
Bahla Honda,5609,169,2740,2880
Mariel,6990,303,3060,3627
Guangjay,4172,-,2168,2004
Calmito,5883,129,3585,2169
Bauta,6538,12,3551,2975
San Antonio de los Baños,6651,291,3693,2667
Güira de Melena,5927,-,2510,3317
Alquizar,5581,342,920,4319
Artemisia,10874,54,6114,4706
Candelaria,3184,-,1804,1380
San Cristóbal,9645,87,3995,5563
