TIPO DE EDUCACIÓN/ ZONA,Total,Interno,Seminterno,Externo
Total,71566,1407,34140,36019
Círculos Infantiles,4984,-,4984,-
Preescolar,169,-,169,-
Preescolar (b),4863,-,2828,2035
Urbana,3940,-,2537,1403
Rural,923,-,291,632
Primaria,31085,-,18085,43000
Urbana,24919,-,15881,9038
Rural,6166,-,2204,3962
Media,25572,1259,7060,17253
Secundaria Básica,14577,38,6907,7632
Urbana,14417,-,6799,7618
Rural,160,38,108,14
Pneumorestario,4769,427,-,4342
Urbana,4281,44,-,4237
Rural,197,92,-,105
Ciencias Exactas,291,291,-,-
Técnica y Profesional,5509,448,4,5057
Centros Politécnicos,4659,448,4,4407
Curso de Trabajadores,409,-,-,409
Diurno,4450,448,4,3998
Escuelas de Oficios,650,-,-,650
Formación de Personal Pedagógico,717,346,149,222
En Escuelas Pedagógicas,678,342,149,187
Formación de Personal Enseñanza Técnica y Profesional,39,4,-,35
Especial,1528,148,1134,243
Adultos,3076,-,-,3076
Enseñanza Obrero-Campesina,-,-,-,-
Secundaria Obrero-Campesina,-,-,-,-
Facultad Obrero-Campesina,2322,-,-,2322
Idiomas,754,-,-,754
