TPO DE EDUCACIÓN,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Total,80928,80043,79137,72891,71566
Circulos Infantiles,5350,5357,5269,5104,4994
Presecular (a),5272,5394,4992,4842,4863
Primaria,33607,33387,33162,32076,31085
Media,29942,29631,27507,25643,25572
Secundaria Básica,13910,14349,14405,14581,14577
Pneumíversilario,5299,5487,5081,4719,4769
Ciencias Exactas,413,434,447,334,-
Técnica y Profesional,7594,8483,7517,5619,5509
Centros Politécnicos,7083,7343,6902,5276,4859
Escuelas de Oficios,511,432,615,343,650
Formación de Personal Pedagógico,725,1312,804,724,717
Especial,1625,1614,1521,1540,1525
Adultos,5132,4606,4409,3656,3076
Otros organismos formadores,-,-,1977,-,...
