TIPO DE EDUCACIÓN,Total,Bahía Honda,Marei,Guanajay,Caimito,Bauta,San Antonio de los Baños,Gilita de Melena,Alquízar,Artemisia,Canoleliris,Canolela
Total,7075,836,734,367,481,460,520,730,605,941,387,1014
Circulos infantiles,720,61,54,40,74,60,78,58,58,102,29,106
Preescolar (2),399,51,49,17,25,25,28,42,20,55,22,65
Primaria,2970,427,280,113,203,184,198,380,217,385,149,434
Media,2467,248,311,160,139,150,171,205,265,333,154,331
Secundaria Básica,1177,149,124,49,75,72,72,114,77,186,88,171
Preuniversitario,439,48,33,29,22,31,71,35,29,68,19,54
Ciencias Exactas,31,-,-,-,-,-,31,-,-,-,-,-
Técnica y Profesional,762,51,154,82,42,47,28,56,70,79,47,106
Centros Politécnicos,647,50,115,82,33,37,12,43,70,62,47,96
Escuelas de Oficios,115,1,39,-,9,10,16,13,-,17,-,10
Formación de Personal Pedagógico,89,-,-,-,-,-,-,-,89,-,-,-
Especial,314,32,23,23,24,27,34,29,28,44,22,28
Adultos,205,17,17,14,16,14,11,16,17,22,11,50
