TPO DE EDUCACIÓN / ZONA,Personal docente frente al aula,Relacion alumno/ personal docente frente al aula
Total,7075,10.1
Circuitos Infantiles,720,6.9
Proescolar,16,10.6
Proescolar (a),389,12.2
Urbana,290,13.6
Rural,109,8.5
Firmaria,2970,10.5
Urbana,2025,12.3
Rural,945,6.5
Media,2467,10.4
Secundaria Básica,1177,12.4
Urbana,1150,12.5
Rural,27,5.9
Preuniversitario,439,10.9
Urbana,379,11.3
Rural,29,6.8
Ciencias Exactas,31,9.4
Técnica y Profesional,762,7.2
Centros Politécnicos,647,7.5
Escuelas de Oficios,115,5.7
Formación de Personal Pedagógico,89,8.1
Especial,314,4.9
Adultos,205,15.0
