TIPO DE EDUCACIÓN / ZONA,Total,Hombres,Mujeres
Total,9686,1497,8086
Círculos Infantiles,947,-,947
Preescolar,16,-,16
Preescolar (6),399,-,399
Urbana,290,-,290
Rural,109,-,109
Primaria,4738,486,4252
Urbana,3315,252,3063
Rural,1423,234,1189
Media,2772,902,1870
Secundaria Básica,1356,298,1058
Urbana,1325,291,1034
Rural,31,7,24
Preuniversitario,519,194,325
Urbana,446,159,287
Rural,34,11,23
Ciencias Exactas,39,24,15
Técnica y Profesional,802,373,429
Centros Politécnicos,674,345,329
Escuelas de Oficios,128,28,100
Formación de Personal Pedagógico,95,37,58
En Escuelas Pedagógicas,95,37,58
Especial,523,48,475
Adultos,206,61,145
Facultad Obrero-Campesina,167,49,118
Idiomas,39,12,27
