TIPO DE EDUCACIÓN / ZONA,Total,Hombres,Mujeres
Total,14151,7230,6951
Primaria,5213,2794,2419
Urbana,4258,2176,2082
Rural,955,618,337
Media,7959,3958,3016
Secundaria Básica,4500,2328,2262
Urbana,4522,2293,2229
Rural,68,35,33
Preuniversitario,1426,488,938
Urbana,1261,428,833
Rural,56,16,40
Ciencias Exactas,109,44,65
Técnica y Profesional,1825,1124,701
Diurno,1505,889,616
Trabajadores,205,157,48
Escuelas de Oficios,115,78,37
Formación de Personal Pedagógico,158,43,115
Pedagogía Primaria, Preescolar, Especial e Idioma,81,13,68
Formación de Personal Enseñanza Técnica y Profesional,11,2,9
Especial,341,212,129
Adultos,628,241,387
