3,CONCEPTO,1985/ 86,1986/ 87,1987/ 88,1988/ 89,1989/ 90,1990/ 91,1991/ 92,1992/ 93,1993/ 94,1994/ 95,1995/ 96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14,  2014/15,  2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,  2018/19,  2019/20,2020/21,2021/22
6,Total,597622,595940,606108,603964,574500,543436,476816,409877,346257,301044,279845,291540,316743,342872,371687,405071,434174,454229,471099,497734,492768,487625,468177,414905,297669,202310,169866,158856,150041,144839,141455,,Total,169907,158913,150082,144887,141492,147203,144852,144610,143583,138315,133256
7, Prescolar (a),42,17,15,20,13,17,13,52,17,31,10,11,32,46,23,44,47,75,69,61,67,54,39,55,29,32,29,15,20,12,11,, Círculos Infantiles,68,72,58,56,48,18,8,12,16,6,7
8, Primaria ,33361,31839,29282,24743,22470,19885,14064,10986,10382,9704,9593,8987,9741,10080,9981,10309,9731,8793,8955,9486,8677,8159,7688,7401,5358,3101,2871,3459,3916,3108,3072,,     De ello: Preescolar,27,15,17,8,11,2,1,3,-,1,1
9,  Urbana,16491,15883,14976,13496,12109,11631,9466,8413,8116,7357,7276,6281,6426,6666,6268,6519,5728,5153,5403,6475,6051,6042,5702,5623,4004,2257,2136,2760,3264,2563,2584,, Preescolar en escuela Primaria,2,-,3,4,-,-,2,1,1,-,-
10,  Rural,16870,15956,14306,11247,10361,8254,4598,2573,2266,2347,2317,2706,3315,3414,3713,3790,4003,3640,3552,3011,2626,2117,1986,1778,1354,844,735,699,652,545,488,,     Urbano,-,-,1,-,-,-,2,1,1,-,-
11, Media (b),488573,485542,494951,495960,463295,425795,370483,311606,255361,221496,209223,224830,250664,276755,303506,333303,358562,373796,381401,396055,390630,385891,369370,324720,203048,114023,91048,86489,79883,79085,78341,,     Rural,2,-,2,4,-,-,-,-,-,-,-
12,  Secundaria básica,211734,205760,185519,167024,144570,123777,103918,84092,68956,67214,66903,76969,87687,93492,99442,103112,109398,112608,110319,108650,97125,86864,83646,70170,49045,32406,25963,25882,24971,23612,22506,, Primaria ,2871,3459,3916,3108,3072,3065,2654,2488,2263,2022,2002
13,  Preuniversitario,130721,137961,160414,182495,179921,173767,149836,116925,90198,77140,70806,78698,88212,99764,110557,127024,137008,144598,161188,184856,196280,205209,206295,183790,109173,43502,27685,23451,21165,19816,19309,,  Urbana,2136,2760,3264,2563,2584,2616,2234,2124,1930,1801,1785
14,  Técnica y profesional (c),115024,113868,122190,118907,111635,107246,105836,101675,92710,75573,71020,69042,74765,83499,93507,103167,112156,116590,109894,102549,97225,93752,79359,70753,44810,31516,24706,23386,20250,24080,26396,,  Rural,735,699,652,545,488,449,420,364,333,221,217
15,    Técnico medio,86359,93292,103286,103653,99170,96038,105836,94889,87073,72196,64540,63914,68984,76908,87158,96732,105146,110615,105432,98824,94353,92075,78051,70272,43794,29204,19005,15927,12627,16407,18959,, Media ,91048,86489,79883,79085,78341,77178,76332,74489,73456,70890,71203
