3,GRUPOS DE ESPECIALIDADES, 1985/86, 1986/87, 1987/88, 1988/89, 1989/90, 1990/91, 1991/92, 1992/93, 1993/94, 1994/95, 1995/96, 1996/97, 1997/98, 1998/99, 1999/00, 2000/01, 2001/02, 2002/03, 2003/04, 2004/05, 2005/06, 2006/07, 2007/08, 2008/09, 2009/10, 2010/11, 2011/12, 2012/13, 2013/14, 2014/15, 2015/16, 2016/17, 2017/18, 2018/19,2019/20,2020/21,2021/22
6,Total,97334,80353,76823,98457,87590,91184,75728,66106,69706,67007,61215,59527,60074,61608,62110,68393,76029,72925,74146,75148,84843,90920,84356,70975,76208,71353,67906,75373,77457,55690,58272,57743,59044,52944,46070,47576,79373
7,  Técnico medio,62951,58214,53189,72838,65918,70919,59777,50657,52352,50273,46846,41274,38143,36834,37116,44276,52500,55561,59364,63830,73584,78976,73951,62128,66904,57958,45948,34651,38759,17151,25152,25166,31951,28818,29718,34362,69317
8,"    Geología, minería y metalurgia",1171,1309,1259,1021,1107,875,1166,765,730,607,573,491,455,431,373,444,505,478,519,430,321,263,354,249,283,438,774,595,474,212,415,205,691,717,677,750,1263
9,    Energética,1898,1517,1735,4264,3434,4567,3108,3369,3430,3482,3033,1873,2018,1820,1943,2222,2525,2535,2636,2140,2150,1986,2290,1643,2221,1986,1903,1573,1301,544,1150,950,1234,1314,1178,1321,2928
10,    Construcción de maquinarias,4540,2852,4897,7435,6311,6195,5908,5588,4873,4611,3845,3015,2884,3008,3137,3836,4461,4225,4318,3689,3340,3484,3830,2889,2862,2430,2105,2219,2010,673,1438,841,1566,1432,1585,1878,3964
11,"    Industrias azucarera, química y alimenticia",2176,2505,2018,2748,2332,2247,2396,2044,1881,2217,2125,2075,1768,1460,1477,1549,1575,1801,1609,1005,927,1060,1867,1422,1323,1446,2275,1053,892,389,531,376,556,805,1108,890,2534
12,"    Electrónica, automatización y comunicaciones",1373,1954,1899,2102,1623,2259,2037,1512,2254,2036,1958,1871,1742,1791,1432,1919,2323,2254,2405,1560,1804,1978,2148,1779,1541,1466,1391,1218,1015,302,545,344,187,287,318,1126,1840
13,    Transporte,1826,1799,1873,2294,3003,2535,2357,2485,2154,2324,2048,1600,1461,1208,1147,1748,1983,2096,2733,2230,1983,2065,2590,1907,2936,2724,1897,1414,1417,785,1282,995,1449,1608,1312,1391,2484
14,    Construcción,3496,1929,3649,5775,6480,6507,6285,4969,6440,5454,4138,2734,1876,1949,2140,2678,3222,2910,3237,3152,2865,2624,2858,3775,4081,4274,3326,1611,3279,437,1914,1403,2341,1902,1864,3563,6763
15,    Producción agropecuaria,8886,5597,9178,11044,9882,11379,10774,9466,8950,10482,10101,7861,7253,7375,8014,8757,9170,10112,10865,9891,10098,8764,7341,7641,11120,9538,6449,5490,8987,4091,5353,2584,3342,2424,2820,3353,7494
16,    Economía,22784,25482,18670,24073,18554,21813,16731,14539,13585,7597,6250,6039,6825,6995,8014,10827,14060,14741,15495,23284,32509,38013,29053,26056,24527,19197,12144,9035,8942,2500,2126,3067,3461,4302,4394,4898,10247
17,    Arte,10459,8737,3666,7341,8835,6495,4930,3952,4104,2880,4034,4073,3989,3729,3586,3450,4192,5001,3995,-,-,-,719,115,193,988,803,836,610,678,4762,632,711,578,750,875,748
18,    Salud ,714,795,981,928,1113,608,1057,585,520,477,383,564,595,549,475,368,901,788,1614,4478,2881,1813,-,-,-,-,886,1303,2687,3938,777,4484,6339,4098,2657,2717,2211
19,    Otras,3628,3738,3364,3813,3244,5439,3028,1383,3431,8106,8358,9078,7277,6519,5378,6478,7583,8620,9938,11971,14706,16926,20901,14652,15817,13471,11995,8304,7145,2602,4859,9285,10074,9351,11055,11600,26841
20, Obrero calificado,34383,22139,23634,25619,21672,20265,15951,15449,17354,16734,14369,18253,21931,24774,24994,24117,23529,17364,14782,11318,11259,11944,10405,8847,9304,13395,21958,40722,38698,38539,33120,32577,27093,24126,16352,13214,10056
21,"    Geología, minería y metalurgia",133,55,109,89,60,49,61,63,59,57,20,50,41,36,51,41,16,27,15,22,-,18,27,15,-,23,-,16,-,14,-,-,-,19,-,-,
22,    Energética,3785,684,583,787,552,622,223,138,275,249,196,83,94,129,138,142,218,130,113,12,121,227,102,5,78,361,928,2206,1898,1597,1566,1458,973,974,907,730,379
23,    Construcción de maquinarias,6541,4069,3980,4179,3681,3408,2601,2833,1753,1640,1387,1838,1948,1944,1219,1386,1941,1425,1324,1293,1488,2549,2172,842,579,2109,2297,3101,3248,4705,4070,2549,2087,1830,1579,1148,939
24,"    Industrias azucarera, química y alimenticia",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,10,-,152,21,43,14,14,5,-,-,514,1469,1887,821,829,612,557,315
25,    Transporte,3026,1654,2022,1661,517,827,1410,911,761,602,838,642,593,711,635,743,892,945,812,537,484,271,93,69,134,-,-,3502,2967,3568,3006,2435,2035,1615,1590,1392,1010
26,    Construcción,7771,4724,4396,7610,7171,6896,2571,2102,2400,2244,791,1958,1851,2097,2195,2792,2802,1957,1671,1415,1237,842,734,356,436,3655,6907,11443,10355,7893,6356,6403,3944,4230,3614,2704,1969
27,    Producción agropecuaria,2817,1619,1419,948,572,274,146,740,70,181,2231,                 -,54,4,-,90,56,21,-,-,-,-,193,442,514,316,3830,8206,7271,5110,3059,3000,2615,1885,1224,911,960
28,    Arte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,    Salud ,428,              -,              -,              -,              -,              -,              -,              -,              -,              -,              -,              -,150,107,87,235,166,328,176,101,109,-,-,-,-,-,-,178,3,297,470,440,274,351,139,115,-
30,    Otras (a),9882,9334,11125,10345,9119,8189,8939,8662,12036,11761,8906,13682,17200,19746,20669,18688,17438,12531,10656,7928,7820,7885,7063,7075,7549,6917,7991,12070,12956,14841,13124,14405,14344,12393,6687,5657,4484
