3,CONCEPTO,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,  1996/97,  1997/98,  1998/99,  1999/00,  2000/01,  2001/02,  2002/03,  2003/04,  2004/05,  2005/06,  2006/07,  2007/08,  2008/09,  2009/10,  2010/11,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,,CONCEPTO,  2011/12,  2012/13,  2013/14,  2014/15,  2015/16,  2016/17,  2017/18,2018/19,2019/20,2020/21,2021/22
6,Total ,231806,231510,235175,239679,241923,233415,232626,230714,220865,195450,202153,199747,197892,195617,195917,206657,215883,234767,249425,252484,261003,280603,289279,298687,303348,316118,298508,289525,284633,280274,275242,,Total ,320323,311780,306165,301558,296000,299572,289003,285309,295060,306128,316947
7, Prescolar,4847,5772,6683,7076,7393,8017,6813,6973,6933,6512,7087,6605,6640,6215,6116,7267,7398,9103,9469,9337,9140,9228,9378,9674,9628,9417,9107,9516,10259,10313,10718,,Círculos infantiles,23611,24126,23734,23292,23010,22032,20476,20843,20549,23088,24631
8, Primaria ,77111,75273,73874,73216,71887,70962,74354,76161,76193,74225,78586,80223,78625,77735,76897,79341,83119,92991,93372,91036,93804,96301,96671,101557,108020,115494,110666,106930,106749,106429,107694,,    De ello: Preescolar ,1796,1871,2202,2008,2252,1711,2129,1767,1597,1597,1651
9,  Urbana,50199,49724,48996,48992,48425,48686,...,52451,52352,51044,53786,54549,53449,53002,52203,54174,57081,61084,61174,59556,61869,63556,64080,67242,71207,78715,73689,70121,69461,69232,70823,,Prescolar,7311,7645,8057,8305,8466,8577,8452,8377,8686,8886,9099
10,  Rural,26912,25549,24878,24224,23462,22276,...,23710,23841,23181,24800,25674,25176,24733,24694,25167,26038,31907,32198,31480,31935,32745,32591,34315,36813,36779,36977,36809,37288,37197,36871,,  Urbana,4490,4548,4706,4856,5027,5054,4974,4904,5018,5138,5290
11, Media,103348,103794,107660,111645,112261,103833,100764,97713,89837,72242,73581,70104,71025,70476,71613,78973,83140,85552,90176,91974,93541,100969,97633,93406,95904,102091,102147,99535,97186,92374,88176,,  Rural,2821,3097,3351,3449,3439,3523,3478,3473,3668,3748,3809
12,  Secundaria básica,51240,50920,50104,49051,48027,42894,41986,41049,39838,34177,36698,37241,37475,36612,36532,40947,42993,38820,42926,45795,45997,45684,45276,43692,43207,45768,48010,47270,46691,44687,42293,,Primaria ,110666,106930,106749,106429,107694,106224,102745,101503,106454,111383,115040
13,    De ello: En el campo,14160,14903,14514,13539,12801,10366,9654,8541,7525,6052,6360,6541,6954,7164,7456,9217,8767,8276,9150,9693,9512,9255,8933,8258,7282,5729,5663,5476,5531,5117,4771,,  Urbana,73689,70121,69461,69232,70823,69789,67181,66648,70228,73788,76502
14,  Preuniversitario,14689,16202,18011,21162,22662,20961,19818,16451,13585,9456,9516,8864,9176,9605,10186,12156,13080,17498,18399,16787,20082,24049,22729,21238,23956,22957,22495,19704,18856,18281,17449,,  Rural,36977,36809,37288,37197,36871,36435,35564,34855,36226,37595,38538
15,    De ello: En el campo,9273,9734,10642,12599,13639,12067,11150,9622,7997,6323,6039,5601,5719,5919,6316,7391,6797,6783,7673,8780,11711,12629,11853,11427,8809,4118,3339,3210,2895,2870,2708,,Media,102147,99535,97186,92374,88176,84780,79886,77447,81354,82186,89760
