3,CONCEPTO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
6,Total,8228,10012,10674,10607,11459,12207,15587,15982,16699,16312,16663,17286,17519,20436,17091,18168,16084,12088,18175.0,21882.0,23828.0,35323.0,35538.0,41676.0,41182.0,42518.0,40154,38367,36611,41659,33547,31549,34561,35376,36721,36653,38726,39432
7,   Recreación,...,492,506,762,868,864,959,1302,1269,1165,1312,1361,1283,1424,1408,1370,1201,1137,1355.0,2018.0,2575.0,4680.0,4524.0,4834.0,5297.0,5866.0,6058,5664,4680,6009,4901,5040,5936,5520,6127,6053,6282,6403
8,   Educación física para adultos y promoción de salud ,392,591,824,1009,1289,1622,2010,2159,2266,2215,2261,2253,2168,2271,2395,2256,1899,1832,2023.0,3005.0,3971.0,6910.0,7966.0,9052.0,8791.0,8237.0,8753,7694,7038,10264,7035,6101,7195,7035,7211,7171,7637,7733
9,   Áreas deportivas,5358,5820,5873,5614,6354,6689,6642,6737,6837,6996,7230,7003,7077,7570,7108,7908,5966,3694,8065.0,8403.0,10576.0,14779.0,16034.0,19225.0,18526.0,18707.0,17323,16530,17368,18694,15267,14524,15382,15971,16071,15656,15754,16208
10,   Actos masivos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103.0,61.0,56.0,130.0,189.0,708.0,279.0,374.0,211,237,647,178,143,80,-,-,-,-,-,-
11,   Escuelas de Iniciación Deportiva,1462,2027,2322,1943,1310,1377,1357,1313,1354,1368,1337,1456,1525,2691,1486,1659,1583,1063,1672.0,1771.0,1579.0,1847.0,1911.0,1946.0,2059.0,2017.0,1619,3674,1777,2241,1816,1760,1823,1932,2122,2176,2043,2043
12,   Academias,760,566,483,545,651,614,625,590,640,648,796,883,866,1602,798,730,1224,495,1053.0,936.0,812.0,788.0,764.0,846.0,858.0,896.0,436,-,179,81,212,253,256,283,295,311,257,265
13,   Escuela Superior de Perfeccionamiento Atlético,-,244,385,449,490,506,537,622,717,750,893,944,930,1351,1045,1050,1078,619,1066.0,1171.0,1024.0,1064.0,1013.0,1100.0,1136.0,1029.0,-,-,-,-,-,-,-,-,-,-,-,-
14,   Escuela Superior de Formación de Atletas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,     de alto Rendimiento Giraldo Córdova Cardín,89,94,95,93,103,106,106,110,136,139,137,136,166,142,148,171,141,171,159.0,165.0,170.0,156.0,167.0,165.0,167.0,164.0,145,143,140,114,101,88,88,106,145,145,145,145
16,   Escuela Superior de Formación de Atletas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,     de alto Rendimiento Cerro Pelado ,167,178,186,192,163,153,160,213,189,191,191,156,150,150,115,133,162,135,162.0,162.0,165.0,202.0,200.0,200.0,200.0,218.0,208,287,211,242,178,156,156,153,195,195,195,195
18,   Áreas terapéuticas,-,-,-,-,231,276,284,291,301,306,348,346,368,350,411,387,261,456,345.0,391.0,399.0,440.0,416.0,464.0,488.0,468.0,368,537,527,350,461,207,223,205,220,220,220,220
19,   En direcciones de deporte (a),...,...,...,...,...,...,2907,2645,2990,2534,2158,2748,2986,2885,2177,2504,2569,2486,2172.0,3799.0,2501.0,4327.0,2354.0,3136.0,3381.0,4542.0,5033,3601,4044,3486,3433,3340,3502,4171,4335,4726,6193,6220

