CONCEPTO,Total,Gibara,Freyre,Banes,Antilla,Báguanos,Holguín,Calixto García,Casocum,Urbano Noris,Cueto,Mayari,Frank País,Sagua,Moa.
Total,1340,120,99,95,36,96,261,95,65,66,52,131,59,113,52
Círculos infantiles,65,2,3,3,1,2,31,1,3,1,2,8,1,1,6
Primaria,1022,95,83,75,25,79,159,78,52,57,37,101,49,98,34
Media,183,19,11,14,7,10,44,13,7,5,10,16,7,11,9
Secundaria básica,106,8,8,9,4,6,25,8,3,3,6,10,4,6,6
Preuniversitario,42,7,2,3,2,2,11,3,2,1,2,2,2,2,1
Técnica y profesional,33,4,1,2,1,2,7,2,2,1,2,3,1,3,2
Escuela de Formación de Personal Pedagógico,2,-,-,-,-,-,1,-,-,-,-,1,-,-,-
Adultos,33,2,1,2,2,3,7,2,2,1,2,4,1,2,2
Especial,27,2,1,1,1,2,10,1,1,2,1,2,1,1,1
Otros Organismos Formadores,10,-,-,-,-,-,10,-,-,-,-,-,-,-,-

