CONCEPTO,2018,2019,2020,2021,2022,2023
Círculos infantiles,62,62,62,62,63,65
Casitas Infantiles,-,-,-,-,3,15
Primaria,1021,1019,1018,1023,1023,1022
Urbana,188,187,186,188,189,192
Rural,833,832,832,835,834,830
Media,185,183,181,182,182,183
Secundaria básica,106,105,105,105,105,106
De ello: En el campo,17,17,20,17,17,19
Preuniversitario,41,41,40,41,41,42
De ello: En el campo,1,11,11,12,12,16
Ciencias exactas,1,1,1,1,1,1
Técnica y profesional,36,35,34,34,34,33
De ello: Escuelas de oficios,1,1,1,1,1,1
Escuela de Formación de Personal Pedagógico,2,2,2,2,2,2
Adultos,35,35,33,36,35,33
Educación Obrero Campesina,2,4,-,-,-,-
Secundaria Obrero Campesina,1,2,2,2,2,-
Facultad Obrero Campesina,24,24,23,25,24,24
Idiomas,8,8,8,9,9,9
Especial,28,28,28,28,27,27
Otros Organismos Formadores,-,-,-,9,9,10
