CONCEPTO,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Total,4153,3491,3460,4429,6904,3369
Técnico medio,2153,1518,1983,2090,5686,2310
Geologia, mineria y metalurgia,163,137,179,162,451,283
Energética,33,28,46,96,277,124
Construcción de maquinarias,199,144,114,452,684,180
Industrias azucarera, química y alimenticia,42,22,46,70,56,27
Electrónica, automatización y comunicaciones,14,-,59,19,91,54
Transporte,150,167,207,328,854,344
Construcción,20,13,73,141,197,118
Producción agropecuaria,189,131,174,215,612,226
Economía,1343,851,977,560,2280,871
Otras,-,25,108,47,184,83
Obrero calificado,2000,1973,1477,1196,1218,1059
Transporte,173,69,119,53,32,58
Otras(4),1069,1230,1358,1143,1186,1001
